2016-09-12 11:11:14,457 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=152, row=28, disparity=39
2016-09-12 11:11:14,461 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=152, row=29, disparity=39
2016-09-12 11:11:14,464 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=152, row=30, disparity=39
2016-09-12 11:11:14,469 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=153, row=29, disparity=40
2016-09-12 11:11:14,473 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=159, row=54, disparity=44
2016-09-12 11:11:14,477 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=159, row=55, disparity=44
2016-09-12 11:18:10,976 DEBUG [Vision] [dmitry.ra@LAP465] [FUNCTION] [FILE:0] Inititalizing robot Vision System
2016-09-12 11:18:10,994 DEBUG [Vision] [dmitry.ra@LAP465] [FUNCTION] [FILE:0] Initializing cameras ...
2016-09-12 11:18:10,999 DEBUG [Vision] [dmitry.ra@LAP465] [FUNCTION] [FILE:0] Cameras successfully initialized.
2016-09-12 11:18:35,700 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=46, row=13, disparity=22
2016-09-12 11:18:35,705 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=47, row=13, disparity=22
2016-09-12 11:18:35,709 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=48, row=13, disparity=22
2016-09-12 11:18:35,713 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=70, row=44, disparity=22
2016-09-12 11:18:35,716 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=112, row=79, disparity=25
2016-09-12 11:18:35,720 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=112, row=80, disparity=25
2016-09-12 11:18:35,725 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=113, row=79, disparity=26
2016-09-12 11:18:35,731 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=113, row=80, disparity=26
2016-09-12 11:18:35,736 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=118, row=73, disparity=22
2016-09-12 11:18:35,741 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=119, row=73, disparity=22
2016-09-12 11:18:35,746 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=119, row=74, disparity=22
2016-09-12 11:18:35,751 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=120, row=74, disparity=22
2016-09-12 11:18:35,755 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=120, row=75, disparity=22
2016-09-12 11:18:35,758 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=120, row=76, disparity=22
2016-09-12 11:18:35,763 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=121, row=75, disparity=22
2016-09-12 11:18:35,767 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=121, row=76, disparity=22
2016-09-12 11:18:35,770 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=121, row=77, disparity=22
2016-09-12 11:18:35,774 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=122, row=76, disparity=22
2016-09-12 11:18:35,777 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=122, row=77, disparity=22
2016-09-12 11:18:35,782 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=151, row=27, disparity=39
2016-09-12 11:18:35,785 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=151, row=28, disparity=39
2016-09-12 11:18:35,789 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=151, row=29, disparity=39
2016-09-12 11:18:35,793 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=152, row=27, disparity=39
2016-09-12 11:18:35,798 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=152, row=28, disparity=39
2016-09-12 11:18:35,802 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=152, row=29, disparity=39
2016-09-12 11:18:35,806 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=152, row=30, disparity=39
2016-09-12 11:18:35,810 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=153, row=29, disparity=40
2016-09-12 11:18:35,814 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=159, row=54, disparity=44
2016-09-12 11:18:35,818 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=159, row=55, disparity=44
2016-09-12 11:18:40,895 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=46, row=13, disparity=22
2016-09-12 11:18:40,900 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=47, row=13, disparity=22
2016-09-12 11:18:40,906 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=48, row=13, disparity=22
2016-09-12 11:18:40,910 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=70, row=44, disparity=22
2016-09-12 11:18:40,915 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=112, row=79, disparity=25
2016-09-12 11:18:40,923 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=112, row=80, disparity=25
2016-09-12 11:18:40,931 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=113, row=79, disparity=26
2016-09-12 11:18:40,941 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=113, row=80, disparity=26
2016-09-12 11:18:40,949 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=118, row=73, disparity=22
2016-09-12 11:18:40,954 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=119, row=73, disparity=22
2016-09-12 11:18:40,957 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=119, row=74, disparity=22
2016-09-12 11:18:40,966 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=120, row=74, disparity=22
2016-09-12 11:18:40,970 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=120, row=75, disparity=22
2016-09-12 11:18:40,974 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=120, row=76, disparity=22
2016-09-12 11:18:40,978 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=121, row=75, disparity=22
2016-09-12 11:18:40,983 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=121, row=76, disparity=22
2016-09-12 11:18:40,986 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=121, row=77, disparity=22
2016-09-12 11:18:40,990 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=122, row=76, disparity=22
2016-09-12 11:18:40,994 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=122, row=77, disparity=22
2016-09-12 11:18:41,000 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=151, row=27, disparity=39
2016-09-12 11:18:41,003 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=151, row=28, disparity=39
2016-09-12 11:18:41,007 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=151, row=29, disparity=39
2016-09-12 11:18:41,012 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=152, row=27, disparity=39
2016-09-12 11:18:41,016 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=152, row=28, disparity=39
2016-09-12 11:18:41,019 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=152, row=29, disparity=39
2016-09-12 11:18:41,022 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=152, row=30, disparity=39
2016-09-12 11:18:41,026 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=153, row=29, disparity=40
2016-09-12 11:18:41,031 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=159, row=54, disparity=44
2016-09-12 11:18:41,035 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=159, row=55, disparity=44
2016-09-12 12:35:11,124 DEBUG [Vision] [dmitry.ra@LAP465] [FUNCTION] [FILE:0] Inititalizing robot Vision System
2016-09-12 12:35:11,132 DEBUG [Vision] [dmitry.ra@LAP465] [FUNCTION] [FILE:0] Initializing cameras ...
2016-09-12 12:35:11,136 DEBUG [Vision] [dmitry.ra@LAP465] [FUNCTION] [FILE:0] Cameras successfully initialized.
2016-09-12 12:35:11,149 TRACE [Vision] [FUNCTION] [FILE:0] Reading image 0001
2016-09-12 12:35:12,210 TRACE [Vision] [FUNCTION] [FILE:0] Reading image 0002
2016-09-12 12:35:13,249 TRACE [Vision] [FUNCTION] [FILE:0] Reading image 0003
2016-09-12 12:35:14,279 TRACE [Vision] [FUNCTION] [FILE:0] Reading image 0004
2016-09-12 12:35:15,300 TRACE [Vision] [FUNCTION] [FILE:0] Reading image 0005
2016-09-12 12:35:16,339 TRACE [Vision] [FUNCTION] [FILE:0] Reading image 0006
2016-09-12 12:35:17,009 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=118, row=58, disparity=22
